               table_name               | column_name |                    sequence_name                     | sequence_last_value
 ts_actions                             | id          | public.ts_actions_id_seq                             |                 177
 break_spots                            | id          | public.break_spots_id_seq                            |                 170
 zendesk_conversations                  | id          | public.zendesk_conversations_id_seq                  |                 160
 ledger_accounts                        | id          | public.ledger_accounts_id_seq                        |                 157
 show_notes                             | id          | public.show_notes_id_seq                             |                 155
 loyalty_achievement_group              | id          | public.loyalty_achievement_group_id_seq              |                 151
 product_profile_types                  | id          | public.product_profile_types_id_seq                  |                 149
 surfaces                               | id          | public.surfaces_id_seq                               |                 144
 support_report_reasons                 | id          | public.support_report_reasons_id_seq                 |                 140
 platform_charges                       | id          | public.platform_charges_id_seq                       |                 139
 shipping_credits                       | id          | public.shipping_credits_id_seq                       |                 128
 delayed_action_jobs                    | id          | public.delayed_action_jobs_id_seq                    |                 116
 card_blocks                            | id          | public.card_blocks_id_seq                            |                 114
 survey_user_answers                    | id          | public.survey_user_answers_id_seq                    |                 110
 breaks                                 | id          | public.breaks_id_seq                                 |                 105
 zendesk_users                          | id          | public.zendesk_users_id_seq                          |                 105
 new_seller_onboarding_session          | id          | public.new_seller_onboarding_session_id_seq          |                 100
 seller_incentive                       | id          | public.seller_incentive_id_seq                       |                  98
 pre_signup_referral_contact            | id          | public.pre_signup_referral_contact_id_seq            |                  95
 seller_loyalty_program                 | id          | public.seller_loyalty_program_id_seq                 |                  86
 loyalty_reward_definition              | id          | public.loyalty_reward_definition_id_seq              |                  81
 ts_violations                          | id          | public.ts_violations_id_seq                          |                  81
 listing_bpo_review_record              | id          | public.listing_bpo_review_record_id_seq              |                  80
 classifier_values                      | id          | public.classifier_values_id_seq                      |                  77
 saved_searches                         | id          | public.saved_searches_id_seq                         |                  77
 blocked                                | id          | public.blocked_id_seq                                |                  75
 shipping_users                         | id          | public.shipping_users_id_seq                         |                  74
 banned_user_related_sellers            | id          | public.banned_user_related_sellers_id_seq            |                  73
 referral_claims                        | id          | public.referral_claims_id_seq                        |                  73
 break_spot_options                     | id          | public.break_spot_options_id_seq                     |                  72
 live_access_restrictions               | id          | public.live_access_restrictions_id_seq               |                  72
 stripe_transfers                       | id          | public.stripe_transfers_id_seq                       |                  71
 bulk_imports                           | id          | public.bulk_imports_id_seq                           |                  70
 seller_default_shipping_settings       | id          | public.seller_default_shipping_settings_id_seq       |                  70
 user_permission_action                 | id          | public.user_permission_action_id_seq                 |                  63
 marketing_landing_pages                | id          | public.marketing_landing_pages_id_seq                |                  52
 user_permissions                       | id          | public.user_permissions_id_seq                       |                  49
 shipping_credit_usages                 | id          | public.shipping_credit_usages_id_seq                 |                  48
 refund_requests                        | id          | public.refund_requests_id_seq                        |                  47
 sales_tax_exempt                       | id          | public.sales_tax_exempt_id_seq                       |                  47
 reportreasons                          | id          | public.reportreasons_id_seq                          |                  46
 user_passwords_history                 | id          | public.user_passwords_history_id_seq                 |                  44
 conversation_groups                    | id          | public.conversation_groups_id_seq                    |                  43
 linked_social_accounts                 | id          | public.linked_social_accounts_id_seq                 |                  43
 brands                                 | id          | public.brands_id_seq                                 |                  41
 referrer_seen_credit_received          | id          | public.referrer_seen_credit_received_id_seq          |                  41
 seller_taxes                           | id          | public.seller_taxes_id_seq                           |                  41
 auth_refresh_tokens                    | id          | public.auth_refresh_tokens_id_seq                    |                  40
 question_choices                       | id          | public.question_choices_id_seq                       |                  40
 raffle_drop_bookmarks                  | id          | public.raffle_drop_bookmarks_id_seq                  |                  38
 survey_questions                       | id          | public.survey_questions_id_seq                       |                  38
 classifier_types                       | id          | public.classifier_types_id_seq                       |                  37
 entity_restrictions                    | id          | public.entity_restrictions_id_seq                    |                  37
 impact_clicks                          | id          | public.impact_clicks_id_seq                          |                  37
 listing_actions                        | id          | public.listing_actions_id_seq                        |                  37
 pickup_details                         | id          | public.pickup_details_id_seq                         |                  37
 product_franchises                     | id          | public.product_franchises_id_seq                     |                  37
 profile_type_classifier_values         | id          | public.profile_type_classifier_values_id_seq         |                  37
 profile_type_classifiers               | id          | public.profile_type_classifiers_id_seq               |                  37
 rating_questions                       | id          | public.rating_questions_id_seq                       |                  37
 surveys                                | id          | public.surveys_id_seq                                |                  37
 product_tags                           | id          | public.product_tags_id_seq                           |                  13
 pre_signup_seller_application_contacts | id          | public.pre_signup_seller_application_contacts_id_seq |                   5
 shipping_labels                        | id          | public.shipping_labels_id_seq                        |                   5
 ad_targetting_options                  | id          | public.ad_targetting_options_id_seq                  |                   4
 addresses_allowlist                    | id          | public.addresses_allowlist_id_seq                    |                   4
 auto_action_state                      | id          | public.auto_action_state_id_seq                      |                   4
 automated_message_settings             | id          | public.automated_message_settings_id_seq             |                   4
 bid_without_payment_info               | id          | public.bid_without_payment_info_id_seq               |                   4
 buyer_livestream_shipping_settings     | id          | public.buyer_livestream_shipping_settings_id_seq     |                   4
 editorial_pushes                       | id          | public.editorial_pushes_id_seq                       |                   4
 file_ingestion_job_status              | id          | public.file_ingestion_job_status_id_seq              |                   4
 invoice_reports                        | id          | public.invoice_reports_id_seq                        |                   4
 livestream_ad_bid                      | id          | public.livestream_ad_bid_id_seq                      |                   4
 localization_preferences               | id          | public.localization_preferences_id_seq               |                   4
 new_seller_group_conversation          | id          | public.new_seller_group_conversation_id_seq          |                   4
 offers                                 | id          | public.offers_id_seq                                 |                   4
 paid_coupon_data                       | id          | public.paid_coupon_data_id_seq                       |                   4
 payout_accounts                        | id          | public.payout_accounts_id_seq                        |                   4
 pickup_requests                        | id          | public.pickup_requests_id_seq                        |                   4
 premier_shop                           | id          | public.premier_shop_id_seq                           |                   4
 premier_shop_evaluations               | id          | public.premier_shop_evaluations_id_seq               |                   4
 product_videos                         | id          | public.product_videos_id_seq                         |                   4
 raffle_drop_entry_orders               | id          | public.raffle_drop_entry_orders_id_seq               |                   4
 referral_challenge_milestone_progress  | id          | public.referral_challenge_milestone_progress_id_seq  |                   4
 referral_challenge_progress            | id          | public.referral_challenge_progress_id_seq            |                   4
 referral_challenge_referred_user       | id          | public.referral_challenge_referred_user_id_seq       |                   4
 refund_requests_groups                 | id          | public.refund_requests_groups_id_seq                 |                   4
 seller_activation_states               | id          | public.seller_activation_states_id_seq               |                   4
 seller_notes                           | id          | public.seller_notes_id_seq                           |                   4
 seller_promotions                      | id          | public.seller_promotions_id_seq                      |                   4
 seller_referral_commissions            | id          | public.seller_referral_commissions_id_seq            |                   4
 seller_review_response                 | id          | public.seller_review_response_id_seq                 |                   4
 seller_weekly_early_payout_earnings    | id          | public.seller_weekly_early_payout_earnings_id_seq    |                   4
 shipment_channels                      | id          | public.shipment_channels_id_seq                      |                   4
 shipment_insurance_info                | id          | public.shipment_insurance_info_id_seq                |                   4
 shipment_metadata                      | id          | public.shipment_metadata_id_seq                      |                   4
 shipping_adjustment_line_items         | id          | public.shipping_adjustment_line_items_id_seq         |                   4
 shipping_insurance_claims              | id          | public.shipping_insurance_claims_id_seq              |                   4
 stackable_actions                      | id          | public.stackable_actions_id_seq                      |                   4
 statement                              | id          | public.statement_id_seq                              |                   4
 statement_line_item                    | id          | public.statement_line_item_id_seq                    |                   4
 stripe_disputes                        | id          | public.stripe_dispute_id_seq                         |                   4
 stripe_early_fraud_warnings            | id          | public.stripe_early_fraud_warning_id_seq             |                   4
 taxonomy_cron_job                      | id          | public.taxonomy_cron_job_id_seq                      |                   4
 ts_decision_rules                      | id          | public.ts_decision_rules_id_seq                      |                   4
 ts_email_template                      | id          | public.ts_email_template_id_seq                      |                   4
 ts_fraud_guardrail_exceptions          | id          | public.ts_fraud_guardrail_exceptions_id_seq          |                   4
 ts_tag_action                          | id          | public.ts_tag_action_id_seq                          |                   4
 ts_tags                                | id          | public.ts_tags_id_seq                                |                   4
 ts_versioned_violations                | id          | public.ts_versioned_violations_id_seq                |                   4
 user_profiles                          | id          | public.user_profiles_id_seq                          |                   4
