            column_name            |                 table_name                 
 payment_id                        | payment_transactions
 payment_id                        | tips
 payment_id                        | verification_requests
 payment_transaction_id            | payment_refund_transaction_audit_logs
 payout_batch_id                   | payouts
 pickup_details_id                 | pickup_requests
 pickup_details_id                 | seller_default_shipping_settings
 pickup_details_id                 | seller_livestream_shipping_settings
 pinned_marketplace_shipment_id    | shipping_credits
 platform_charge_id                | shipping_adjustments
 previous_bid                      | ad_auctions
 previous_shipping_profile_id      | shipping_profiles
 primary_category_id               | livestream_tags
 product_attribute_id              | catalog_product_type_attributes
 product_category_id               | shipment_items
 product_id                        | api_product_attributes
 product_id                        | catalog_product_categories
 product_id                        | listing_review
 product_id                        | listings
 product_id                        | offers
 product_id                        | order_items
 product_id                        | product_classifiers
 product_id                        | product_profiles
 product_id                        | product_tags_through
 product_id                        | product_videos
 product_id                        | raffle_drops
 product_id                        | unique_items
 product_profile_descriptor_id     | product_profiles
 product_profile_type_id           | categories
 product_profile_type_id           | listing_conditions
 product_profile_type_id           | product_profile_descriptors
 product_profile_type_id           | products
 product_profile_type_id           | profile_type_classifier_values
 product_profile_type_id           | profile_type_classifiers
 product_tag_id                    | product_tags_through
 product_type_id                   | catalog_product_type_attributes
 product_type_id                   | catalog_products
 product_type_id                   | category_catalog_product_types
 proposing_user_id                 | deal_proposal
 purge_id                          | auto_action_state
 purge_id                          | ts_actions
 question_id                       | question_choices
 question_id                       | rating_answers
 question_id                       | survey_user_answers
 quotation_id                      | order_taxes
 raffle_drop_entry_id              | raffle_drop_entry_shares
 raffle_drop_id                    | raffle_drop_bookmarks
 raffle_drop_id                    | raffle_drop_entries
 rating_answer_id                  | seller_review_response
 recipient_id                      | shipments
 recipient_id                      | tips
 recipient_user_id                 | gifting_preferences
 reference_id                      | videos
 referral_challenge_progress_id    | referral_challenge_milestone_progress
 referral_id                       | referral_credit_pending_reveal
 referral_user_id                  | referrer_seen_credit_received
 referred_id                       | seller_referral_commissions
 referred_user_id                  | referral_challenge_referred_user
 referred_user_id                  | referral_claims
 referrer_id                       | referral_challenge_referred_user
 referrer_id                       | referral_credit_pending_reveal
 referrer_id                       | seller_referral_commissions
 referrer_user_id                  | pre_signup_referral_contact
 referrer_user_id                  | referral_claims
 referrer_user_id                  | referrer_seen_credit_received
 report_reason_id                  | refund_requests
 report_reason_id                  | refund_requests_groups
 report_reason_id                  | support_tickets
 report_reason_id                  | user_reports
 reporter_id                       | support_tickets
 reporter_id                       | user_reports
 restriction_id                    | user_permissions
 return_address_id                 | shipments
 return_address_id                 | user_profiles
 return_shipment_id                | refund_requests
 selected_choice_id                | survey_user_answers
 seller_id                         | automated_message_settings
 seller_id                         | banned_user_related_sellers
 seller_id                         | buyer_seller_shipping_settings
 seller_id                         | cancellation_requests
 seller_id                         | claimable_ad_credit
 seller_id                         | client_app_installs
 seller_id                         | coupons
 seller_id                         | invoice_reports
 seller_id                         | live_clips
 seller_id                         | livestream_summaries
 seller_id                         | orders
 seller_id                         | pickup_requests
 seller_id                         | premier_shop
 seller_id                         | premier_shop_evaluations
 seller_id                         | raffle_drops
 seller_id                         | rating_answers
 seller_id                         | refund_requests
 seller_id                         | refund_requests_groups
 seller_id                         | seller_incentive
 seller_id                         | seller_notes
 seller_id                         | seller_promotions
 seller_id                         | seller_review_response
 seller_id                         | shipments
 seller_id                         | webhook_events
 seller_user_id                    | breaks
 seller_user_id                    | hits
 seller_user_id                    | seller_loyalty_config
 seller_user_id                    | seller_loyalty_program
 sender_id                         | share_url
 sender_id                         | sharing
 sender_id                         | tips
 shipment_id                       | intakes
 shipment_id                       | order_items
 shipment_id                       | pickup_requests
 shipment_id                       | rating_answers
 shipment_id                       | seller_review_response
 shipment_id                       | shipment_channels
 shipment_id                       | shipment_insurance_info
 shipment_id                       | shipment_items
 shipment_id                       | shipment_metadata
 shipment_id                       | shipping_adjustment_line_items
 shipment_id                       | shipping_adjustments
 shipment_id                       | shipping_insurance_claims
 shipping_address_id               | orders
 shipping_adjustment_id            | shipping_adjustment_line_items
 shipping_credit_id                | shipping_credit_usages
 shipping_manifest_id              | shipments
 shipping_profile_id               | category_shipping_profile_association
 shipping_profile_id               | products
 shipping_profile_id               | shipment_items
 shipping_profile_id               | shipping_profile_usages
 statement_id                      | statement_line_item
 story_id                          | story_listings
 story_id                          | story_user_actions
 subcategory_id                    | seller_application_states
 subject_id                        | entity_relationships
 survey_id                         | survey_questions
 survey_id                         | survey_user_answers
 tag_id                            | live_access_restrictions
 tag_id                            | ts_tag_action
 target_user_id                    | community_boost_contributions
 tax_transaction_id                | platform_charges
 tax_transaction_id                | tax_input_items
 tax_transaction_id                | tax_line_items
 taxonomy_id                       | category_catalog_product_types
 taxonomy_id                       | entity_relationships
 template_product_id               | categories
 transaction_id                    | credit_expiry
 ts_action_id                      | listing_actions
 ts_action_id                      | stackable_actions
 ts_action_id                      | user_permission_action
 ts_violation_id                   | user_reports
 user_being_reported_id            | user_reports
 user_id                           | Lives
 user_id                           | ad_campaigns
 user_id                           | ad_charges
 user_id                           | addresses
 user_id                           | appeals
 user_id                           | auction_bidders
 user_id                           | auth_refresh_tokens
 user_id                           | auto_action_state
 user_id                           | bid_without_payment_info
 user_id                           | bulk_imported_listings
 user_id                           | bulk_imports
 user_id                           | bulk_upload_jobs
 user_id                           | card_blocks
 user_id                           | cards
 user_id                           | catalog_product_attributes
 user_id                           | community_boost_jars
 user_id                           | coupon_claims
 user_id                           | coupon_usages
 user_id                           | credit_expiry
 user_id                           | entitlements
 user_id                           | friends
 user_id                           | impact_clicks
 user_id                           | imported_contacts
 user_id                           | intakes
 user_id                           | invoices
 user_id                           | ledger_transactions
 user_id                           | linked_social_accounts
 user_id                           | listing_actions
 user_id                           | listing_review
 user_id                           | listings
 user_id                           | live_clip_user_actions
 user_id                           | lives
 user_id                           | livestream_ad
 user_id                           | livestream_ad_bid
 user_id                           | livestream_watchlists
 user_id                           | localization_preferences
 user_id                           | multi_factor_authentication
 user_id                           | new_seller_onboarding_session
 user_id                           | notification_mutes
 user_id                           | notification_settings
 user_id                           | offers
 user_id                           | op_reviews
 user_id                           | orders
 user_id                           | paid_coupon_data
 user_id                           | payment_transactions
 user_id                           | payments
 user_id                           | payout_accounts
 user_id                           | payouts
 user_id                           | pickup_details
 user_id                           | platform_charges
 user_id                           | pre_signup_seller_application_contacts
 user_id                           | products
 user_id                           | profile_listings
 user_id                           | quotations
 user_id                           | raffle_drop_bookmarks
 user_id                           | raffle_drop_entries
 user_id                           | referral_challenge_progress
 user_id                           | referral_codes
 user_id                           | sales_tax_exempt
 user_id                           | saved_searches
 user_id                           | scheduled_early_payout_earnings_completion
 user_id                           | seller_activation_states
 user_id                           | seller_application_states
 user_id                           | seller_default_shipping_settings
 user_id                           | seller_livestream_shipping_settings
 user_id                           | seller_taxes
 user_id                           | seller_weekly_early_payout_earnings
 user_id                           | shipping_adjustment_line_items
 user_id                           | shipping_adjustments
 user_id                           | shipping_credit_usages
 user_id                           | shipping_credits
 user_id                           | shipping_insurance_claims
 user_id                           | shipping_profile_usages
 user_id                           | shipping_profiles
 user_id                           | shipping_users
 user_id                           | stackable_actions
 user_id                           | stories
 user_id                           | story_user_actions
 user_id                           | survey_user_answers
 user_id                           | ts_actions
 user_id                           | ts_addresses
 user_id                           | ts_fraud_guardrail_exceptions
 user_id                           | ts_tag_action
 user_id                           | ts_users
 user_id                           | user_challenge
 user_id                           | user_cross_stream_keys
 user_id                           | user_device
 user_id                           | user_follows_counts
