                 table_name                 |            column_name
 coupon_usages                              | user_id
 coupons                                    | loyalty_reward_definition_id
 coupons                                    | seller_id
 credit_expiry                              | transaction_id
 credit_expiry                              | user_id
 deal_proposal                              | listing_id
 deal_proposal                              | order_item_id
 deal_proposal                              | proposing_user_id
 delayed_action_jobs                        | external_entity_id
 entitlements                               | user_id
 entity_relationships                       | object_id
 entity_relationships                       | subject_id
 entity_relationships                       | taxonomy_id
 entity_restrictions                        | entity_id
 external_product_taxonomy                  | external_id
 external_product_taxonomy                  | internal_category_id
 feed_pivot_configs                         | applied_interest_id
 friends                                    | friend_user_id
 friends                                    | user_id
 gifting_preferences                        | custom_address_id
 gifting_preferences                        | order_id
 gifting_preferences                        | recipient_user_id
 handling_charges                           | order_id
 hits                                       | buyer_user_id
 hits                                       | live_clip_id
 hits                                       | order_item_id
 hits                                       | seller_user_id
 images                                     | imageable_id
 impact_clicks                              | affiliate_impact_id
 impact_clicks                              | user_id
 imported_contacts                          | user_id
 intakes                                    | listing_id
 intakes                                    | order_item_id
 intakes                                    | shipment_id
 intakes                                    | user_id
 invoice_line_items                         | invoice_id
 invoice_line_items                         | parent_line_item_id
 invoice_reports                            | seller_id
 invoices                                   | user_id
 item_disputes                              | order_item_id
 keyword_landing_pages                      | category_id
 keyword_landing_pages                      | livestream_tag_id
 ledger_accounts                            | owner_id
 ledger_transactions                        | account_id
 ledger_transactions                        | from_user_id
 ledger_transactions                        | listing_id
 ledger_transactions                        | order_item_id
 ledger_transactions                        | parent_id
 ledger_transactions                        | user_id
 linked_social_accounts                     | user_id
 listing_actions                            | listing_id
 listing_actions                            | ts_action_id
 listing_actions                            | user_id
 listing_bpo_review_record                  | listing_id
 listing_conditions                         | product_profile_type_id
 listing_properties                         | listing_id
 listing_review                             | listing_id
 listing_review                             | product_id
 listing_review                             | user_id
 listings                                   | catalog_product_id
 listings                                   | created_from_id
 listings                                   | failed_payment_id
 listings                                   | listing_condition_id
 listings                                   | market_listing_id
 listings                                   | product_id
 listings                                   | user_id
 live_access_restrictions                   | category_id
 live_access_restrictions                   | tag_id
 live_clip_user_actions                     | user_id
 live_clips                                 | clipper_id
 live_clips                                 | cohost_id
 live_clips                                 | order_id
 live_clips                                 | seller_id
 live_listings                              | listing_id
 lives                                      | user_id
 livestream_ad                              | user_id
 livestream_ad_bid                          | user_id
 livestream_summaries                       | seller_id
 livestream_tags                            | image_id
 livestream_tags                            | primary_category_id
 livestream_watchlists                      | user_id
 localization_preferences                   | user_id
 loyalty_achievement_definition             | loyalty_achievement_group_id
 loyalty_achievement_definition             | loyalty_program_id
 loyalty_achievement_group                  | loyalty_program_id
 loyalty_reward_definition                  | loyalty_program_id
 loyalty_user_achievement_progress          | loyalty_program_id
 loyalty_user_achievement_progress          | member_user_id
 multi_factor_authentication                | user_id
 new_seller_group_conversation              | conversation_group_id
 new_seller_group_conversation              | first_seller_id
 new_seller_group_conversation              | last_seller_id
 new_seller_onboarding_session              | user_id
 notification_mutes                         | muted_user_id
 notification_mutes                         | user_id
 notification_settings                      | user_id
 offers                                     | product_id
 offers                                     | user_id
 op_reviews                                 | entity_int_id
 op_reviews                                 | user_id
 order_items                                | listing_condition_id
 order_items                                | listing_id
 order_items                                | order_id
 order_items                                | product_id
 order_items                                | shipment_id
 order_records                              | order_id
 order_tax_transactions                     | order_tax_id
 order_taxes                                | order_id
 order_taxes                                | quotation_id
 orders                                     | billing_address_id
 orders                                     | payment_id
 orders                                     | seller_id
 orders                                     | shipping_address_id
 orders                                     | user_id
 pack_entries                               | pack_id
 page_views                                 | page_type_id
 paid_coupon_data                           | coupon_id
 paid_coupon_data                           | user_id
 payment_refund_transaction_audit_logs      | payment_transaction_id
 payment_transactions                       | payment_id
 payment_transactions                       | user_id
 payments                                   | user_id
 payout_accounts                            | user_id
 payouts                                    | ledger_transaction_id
 payouts                                    | payout_batch_id
 payouts                                    | user_id
 pickup_details                             | address_id
 pickup_details                             | user_id
 pickup_requests                            | buyer_id
 pickup_requests                            | pickup_details_id
 pickup_requests                            | seller_id
 pickup_requests                            | shipment_id
 platform_charges                           | tax_transaction_id
 platform_charges                           | user_id
 pre_signup_referral_contact                | referrer_user_id
 pre_signup_seller_application_contacts     | referred_by_user_id
 pre_signup_seller_application_contacts     | user_id
 premier_shop                               | overrider_id
 premier_shop                               | seller_id
 premier_shop_evaluations                   | seller_id
 product_classifiers                        | classifier_type_id
 product_classifiers                        | classifier_value_id
 product_classifiers                        | product_id
 product_franchises                         | brand_id
 product_profile_descriptors                | product_profile_type_id
 product_profile_types                      | main_classifier_type_id
 product_profile_types                      | parent_id
 product_profiles                           | product_id
 product_profiles                           | product_profile_descriptor_id
 product_tags_through                       | product_id
 product_tags_through                       | product_tag_id
 product_videos                             | product_id
 product_videos                             | video_id
 products                                   | brand_id
 products                                   | category_id
 products                                   | franchise_id
 products                                   | migrated_product_id
 products                                   | product_profile_type_id
 products                                   | shipping_profile_id
 products                                   | user_id
 profile_listings                           | listing_id
 profile_listings                           | user_id
 profile_type_classifier_values             | classifier_value_id
 profile_type_classifier_values             | product_profile_type_id
 profile_type_classifiers                   | classifier_type_id
 profile_type_classifiers                   | product_profile_type_id
 question_choices                           | question_id
 quotations                                 | order_id
 quotations                                 | user_id
 raffle_drop_bookmarks                      | raffle_drop_id
 raffle_drop_bookmarks                      | user_id
 raffle_drop_entries                        | raffle_drop_id
 raffle_drop_entries                        | user_id
 raffle_drop_entries                        | winner_item_id
 raffle_drop_entry_listings                 | entry_id
 raffle_drop_entry_listings                 | listing_id
 raffle_drop_entry_orders                   | entry_id
 raffle_drop_entry_orders                   | order_id
 raffle_drop_entry_shares                   | raffle_drop_entry_id
 raffle_drops                               | product_id
 raffle_drops                               | seller_id
 rating_answers                             | buyer_id
 rating_answers                             | order_id
 rating_answers                             | question_id
 rating_answers                             | seller_id
 rating_answers                             | shipment_id
 referral_challenge_milestone_progress      | ledger_transaction_id
 referral_challenge_milestone_progress      | referral_challenge_progress_id
 referral_challenge_progress                | user_id
 referral_challenge_referred_user           | ledger_transaction_id
 referral_challenge_referred_user           | referred_user_id
 referral_challenge_referred_user           | referrer_id
 referral_claims                            | referred_user_id
 referral_claims                            | referrer_user_id
 referral_codes                             | user_id
 referral_credit_pending_reveal             | referral_id
 referral_credit_pending_reveal             | referrer_id
 referrer_seen_credit_received              | ledger_id
 referrer_seen_credit_received              | referral_user_id
 referrer_seen_credit_received              | referrer_user_id
 refund_requests                            | buyer_id
 refund_requests                            | group_id
 refund_requests                            | report_reason_id
 refund_requests                            | return_shipment_id
 refund_requests                            | seller_id
 refund_requests_groups                     | buyer_id
 refund_requests_groups                     | report_reason_id
 refund_requests_groups                     | seller_id
 reportreasons                              | parent_id
 sales_tax_exempt                           | user_id
 saved_searches                             | user_id
 scheduled_early_payout_earnings_completion | order_id
 scheduled_early_payout_earnings_completion | user_id
 seller_account_settings                    | user_id
 seller_activation_states                   | user_id
 seller_application_states                  | category_id
 seller_application_states                  | subcategory_id
 seller_application_states                  | user_id
 seller_application_states                  | user_state_id
 seller_default_shipping_settings           | pickup_details_id
 seller_default_shipping_settings           | user_id
 seller_incentive                           | ledger_transaction_id
 seller_incentive                           | seller_id
